Wall time,Step,Value
1589728085.254042,18,0.5521804690361023
1589728215.976237,24,0.7836090326309204
1589728509.642285,40,0.8190977573394775
1589728546.488098,42,0.8165413737297058
1589728601.905159,45,0.8139849901199341
1589728823.760238,56,0.8306766748428345
1589729097.517208,71,0.8299248218536377
1589729172.809953,74,0.8317293524742126
1589729536.319628,94,0.8416541218757629
1589729775.179658,106,0.8398496508598328
1589730162.654606,126,0.8421052694320679
1589730713.438816,155,0.8461654186248779
1589730769.031014,158,0.8449624180793762
1589730933.251543,167,0.8460150361061096
1589731245.143677,183,0.8472180366516113
1589731281.563316,185,0.8482706546783447
1589732127.30948,229,0.8336842060089111
1589732219.219313,234,0.822405993938446
1589732511.897968,249,0.8366917371749878
1589732620.560078,255,0.8347368240356445
1589732711.80416,260,0.8407518863677979
1589732839.059781,267,0.8284210562705994
1589732949.457463,273,0.8326315879821777
1589733629.319457,308,0.7911278009414673
1589733665.643527,310,0.7942857146263123
1589733811.15787,318,0.800902247428894
1589734214.334412,339,0.805413544178009
1589734360.904181,347,0.8070676922798157
1589734743.465384,367,0.8159398436546326
1589735764.794803,421,0.8303759694099426
1589735783.077748,422,0.8293232917785645
1589736110.813307,439,0.8431578874588013
1589736165.763089,442,0.8350375890731812
1589736220.462869,445,0.8377443552017212
1589736507.967287,460,0.8377443552017212
1589736562.758976,463,0.8424060344696045
1589736580.965561,464,0.8389473557472229
1589736783.078885,474,0.8374435901641846
1589737130.186129,493,0.8422556519508362
1589737532.712134,514,0.8412030339241028
1589737860.557499,531,0.8403007388114929
1589737952.067142,536,0.830075204372406
1589738464.636976,563,0.8243609070777893
1589738648.160899,573,0.8338345885276794
1589738775.455847,579,0.8225563764572144
1589738904.141644,586,0.8163909912109375
1589738922.361948,587,0.8048120141029358
1589739543.823436,620,0.8171428442001343
1589739579.926659,622,0.8249623775482178
1589739816.933201,634,0.8386465907096863
1589739944.005444,641,0.8363909721374512
1589739962.405126,642,0.8333834409713745
1589739999.139589,644,0.8386465907096863
1589740053.946827,647,0.8389473557472229
1589740109.578693,649,0.8365413546562195
1589740328.724665,661,0.8407518863677979
1589740510.358635,671,0.8410526514053345
1589741332.649568,714,0.8473684191703796
1589741478.102601,722,0.8461654186248779
1589741644.096264,730,0.847067654132843
1589741806.911698,739,0.8449624180793762
1589742061.574827,752,0.8466165661811829
1589742134.579059,756,0.8424060344696045
1589742298.601105,765,0.8436090350151062
1589742371.699608,769,0.8427067399024963
1589742408.558141,771,0.843007504940033
1589742444.413364,773,0.8433082699775696
1589742591.334158,780,0.8412030339241028
1589742681.551847,785,0.8418045043945312
1589742717.58409,787,0.8410526514053345
1589742808.397933,792,0.8416541218757629
1589742844.796036,794,0.8427067399024963
1589742917.503238,798,0.8416541218757629
1589743010.06612,802,0.8386465907096863
1589743120.605354,808,0.8312782049179077
1589743138.754044,809,0.8505263328552246
1589743577.58426,832,0.8485714197158813
1589743650.217988,836,0.8496240377426147
1589744271.796675,869,0.8407518863677979
1589744419.63229,876,0.8356391191482544
1589744528.564227,882,0.8518797159194946
1589744782.441999,896,0.8469172716140747
1589744874.397842,900,0.8539849519729614
1589745002.226646,907,0.8566917181015015
1589745038.691337,909,0.857443630695343
1589745184.976719,917,0.8592481017112732
1589745460.270352,931,0.8575940132141113
1589745478.30584,932,0.8569924831390381
1589745660.742237,942,0.8584962487220764
1589745715.964091,945,0.8590977191925049
1589745900.153357,954,0.8551879525184631
1589746045.304323,962,0.8523308038711548
1589746207.733173,971,0.8500751852989197
1589746225.929999,972,0.853383481502533
1589746354.622946,978,0.851578950881958
1589746372.713833,979,0.8520300984382629
1589746463.787138,984,0.848421037197113
1589746810.213534,1002,0.8478195667266846
1589746864.489319,1005,0.8512781858444214
1589747028.212016,1014,0.8596992492675781
1589747593.308132,1044,0.8568421006202698
1589747849.827392,1057,0.8201503753662109
1589747958.875181,1063,0.8565413355827332
1589748013.854686,1066,0.8649623990058899
1589748050.078898,1068,0.8702255487442017
1589748123.654185,1072,0.8720300793647766
1589748252.295361,1078,0.8709774613380432
1589748342.54182,1083,0.8700751662254333
1589748524.080371,1093,0.8604511022567749
1589748652.286446,1099,0.8621052503585815
1589748742.606179,1104,0.8554887175559998
1589748924.912876,1114,0.8535338640213013
1589749728.957187,1156,0.8613533973693848
1589749801.653809,1160,0.858797013759613
1589749819.657058,1161,0.857443630695343
1589749838.030437,1162,0.8583458662033081
1589750187.28124,1180,0.8412030339241028
1589750424.042317,1193,0.8312782049179077
1589750679.164535,1206,0.6960902214050293
1589751172.379613,1232,0.8636090159416199
1589751392.284869,1244,0.8628571629524231
1589751612.76789,1255,0.8580451011657715
1589751667.232391,1258,0.854736864566803
1589751722.614916,1261,0.856090247631073
1589752106.68438,1281,0.8523308038711548
1589752215.484546,1287,0.853383481502533
1589752342.796354,1294,0.8559398651123047
1589752471.73678,1300,0.8581954836845398
1589752762.592318,1316,0.8494736552238464
1589752818.057173,1319,0.8595488667488098
1589753039.776702,1330,0.8566917181015015
1589753094.795889,1333,0.8580451011657715
1589753149.849829,1336,0.8589473962783813
1589753167.92857,1337,0.8572932481765747
1589754084.848492,1385,0.8590977191925049
1589754139.692888,1388,0.8569924831390381
1589754195.113665,1391,0.8612030148506165
1589754213.090098,1392,0.8627067804336548
1589754631.291813,1414,0.8360902070999146
1589754867.396353,1426,0.8455638885498047
1589755049.301242,1436,0.4321804642677307
1589755121.854349,1440,0.8153383731842041
1589755597.326212,1465,0.8815037608146667
1589755615.756499,1466,0.8837593793869019
1589755836.612381,1477,0.8801503777503967
1589755982.559556,1485,0.8806015253067017
1589756055.896486,1489,0.8756390810012817
1589756092.829296,1491,0.8714285492897034
1589756696.456675,1523,0.8860150575637817
1589756789.060755,1527,0.8873684406280518
1589757265.577509,1552,0.8815037608146667
1589757557.854442,1568,0.8798496127128601
1589757575.780772,1569,0.8765413761138916
1589757869.215044,1584,0.8790977597236633
1589757942.793636,1588,0.8781954646110535
1589758253.836184,1604,0.8624060153961182
1589758271.890424,1605,0.8606014847755432
1589758692.587191,1627,0.8166917562484741
1589758783.998052,1632,0.7643609046936035
1589758874.85725,1637,0.8252631425857544
1589758929.497357,1640,0.8508270382881165
1589759020.249471,1645,0.8622556328773499
1589759075.483161,1648,0.8187969923019409
1589759314.696941,1660,0.7672180533409119
1589759460.237874,1668,0.7682706713676453
1589759608.049871,1675,0.6293233036994934
