Wall time,Step,Value
1589728085.256844,18,0.5473684072494507
1589728215.97734,24,0.8842105269432068
1589728509.644478,40,0.9263157844543457
1589728546.490264,42,0.9368420839309692
1589728601.907241,45,0.9473684430122375
1589728823.762276,56,0.9684210419654846
1589729097.51911,71,0.9684210419654846
1589729172.811051,74,0.9789473414421082
1589729536.321488,94,0.9684210419654846
1589729775.181549,106,0.9789473414421082
1589730162.656661,126,0.9684210419654846
1589730713.440734,155,0.9684210419654846
1589730769.032891,158,0.9789473414421082
1589730933.253412,167,0.9684210419654846
1589731245.145967,183,0.9684210419654846
1589731281.565562,185,0.9684210419654846
1589732127.311469,229,0.9684210419654846
1589732219.221497,234,0.9684210419654846
1589732511.899162,249,0.9684210419654846
1589732620.562073,255,0.9684210419654846
1589732711.806101,260,0.9684210419654846
1589732839.061904,267,0.9578947424888611
1589732949.459657,273,0.9684210419654846
1589733629.321283,308,0.9473684430122375
1589733665.645454,310,0.9684210419654846
1589733811.160181,318,0.9684210419654846
1589734214.336447,339,0.9684210419654846
1589734360.906285,347,0.9789473414421082
1589734743.467856,367,0.9789473414421082
1589735764.797157,421,0.9578947424888611
1589735783.07969,422,0.9789473414421082
1589736110.815106,439,0.9684210419654846
1589736165.765339,442,0.9684210419654846
1589736220.464547,445,0.9789473414421082
1589736507.969061,460,0.9578947424888611
1589736562.761628,463,0.9789473414421082
1589736580.967481,464,0.9789473414421082
1589736783.080307,474,0.9368420839309692
1589737130.188046,493,0.9473684430122375
1589737532.714012,514,0.9368420839309692
1589737860.559468,531,0.9578947424888611
1589737952.069047,536,0.9578947424888611
1589738464.6394,563,0.9263157844543457
1589738648.163105,573,0.9368420839309692
1589738775.457721,579,0.9368420839309692
1589738904.142999,586,0.9263157844543457
1589738922.363847,587,0.9052631855010986
1589739543.825425,620,0.9368420839309692
1589739579.928991,622,0.9578947424888611
1589739816.934551,634,0.9684210419654846
1589739944.007767,641,0.9473684430122375
1589739962.407264,642,0.9473684430122375
1589739999.141448,644,0.9578947424888611
1589740053.948726,647,0.9684210419654846
1589740109.579796,649,0.9578947424888611
1589740328.726568,661,0.9684210419654846
1589740510.360803,671,0.9578947424888611
1589741332.652064,714,0.9684210419654846
1589741478.104494,722,0.9684210419654846
1589741644.098422,730,0.9684210419654846
1589741806.913591,739,0.9684210419654846
1589742061.577735,752,0.9684210419654846
1589742134.581561,756,0.9684210419654846
1589742298.602887,765,0.9684210419654846
1589742371.701285,769,0.9684210419654846
1589742408.560187,771,0.9684210419654846
1589742444.415871,773,0.9684210419654846
1589742591.336205,780,0.9684210419654846
1589742681.553805,785,0.9684210419654846
1589742717.585951,787,0.9684210419654846
1589742808.39995,792,0.9684210419654846
1589742844.798179,794,0.9684210419654846
1589742917.505132,798,0.9578947424888611
1589743010.068323,802,0.9578947424888611
1589743120.608317,808,0.9473684430122375
1589743138.756075,809,0.9473684430122375
1589743577.586411,832,0.9368420839309692
1589743650.219889,836,0.9578947424888611
1589744271.798874,869,0.9473684430122375
1589744419.634104,876,0.9578947424888611
1589744528.566022,882,0.9473684430122375
1589744782.443785,896,0.9473684430122375
1589744874.399069,900,0.9473684430122375
1589745002.228579,907,0.9578947424888611
1589745038.693352,909,0.9578947424888611
1589745184.978713,917,0.9578947424888611
1589745460.272105,931,0.9578947424888611
1589745478.306916,932,0.9578947424888611
1589745660.744244,942,0.9578947424888611
1589745715.966023,945,0.9684210419654846
1589745900.155541,954,0.9684210419654846
1589746045.306404,962,0.9684210419654846
1589746207.735139,971,0.9684210419654846
1589746225.930972,972,0.9684210419654846
1589746354.624809,978,0.9684210419654846
1589746372.716059,979,0.9684210419654846
1589746463.789033,984,0.9684210419654846
1589746810.215581,1002,0.9684210419654846
1589746864.49209,1005,0.9684210419654846
1589747028.213828,1014,0.9684210419654846
1589747593.310568,1044,0.9684210419654846
1589747849.829523,1057,0.9157894849777222
1589747958.877078,1063,0.9473684430122375
1589748013.856759,1066,0.9684210419654846
1589748050.080884,1068,0.9578947424888611
1589748123.655633,1072,0.9684210419654846
1589748252.297362,1078,0.9684210419654846
1589748342.543796,1083,0.9684210419654846
1589748524.081716,1093,0.9684210419654846
1589748652.287602,1099,0.9684210419654846
1589748742.608078,1104,0.9684210419654846
1589748924.914872,1114,0.9684210419654846
1589749728.95858,1156,0.9578947424888611
1589749801.656629,1160,0.9578947424888611
1589749819.658958,1161,0.9684210419654846
1589749838.032401,1162,0.9684210419654846
1589750187.282614,1180,0.9473684430122375
1589750424.044359,1193,0.9578947424888611
1589750679.16589,1206,0.9578947424888611
1589751172.380945,1232,0.9684210419654846
1589751392.286828,1244,0.9684210419654846
1589751612.769806,1255,0.9684210419654846
1589751667.234276,1258,0.9684210419654846
1589751722.616759,1261,0.9684210419654846
1589752106.68685,1281,0.9684210419654846
1589752215.486426,1287,0.9684210419654846
1589752342.798695,1294,0.9684210419654846
1589752471.738941,1300,0.9684210419654846
1589752762.594197,1316,0.9578947424888611
1589752818.059313,1319,0.9684210419654846
1589753039.778689,1330,0.9684210419654846
1589753094.797236,1333,0.9684210419654846
1589753149.852219,1336,0.9684210419654846
1589753167.930674,1337,0.9684210419654846
1589754084.850463,1385,0.9473684430122375
1589754139.695205,1388,0.9473684430122375
1589754195.115818,1391,0.9473684430122375
1589754213.092146,1392,0.9473684430122375
1589754631.293234,1414,0.9578947424888611
1589754867.398517,1426,0.9578947424888611
1589755049.303118,1436,0.5052631497383118
1589755121.856347,1440,0.9263157844543457
1589755597.328255,1465,0.9578947424888611
1589755615.758517,1466,0.9578947424888611
1589755836.614313,1477,0.9578947424888611
1589755982.561448,1485,0.9578947424888611
1589756055.89845,1489,0.9578947424888611
1589756092.831168,1491,0.9578947424888611
1589756696.459026,1523,0.9578947424888611
1589756789.063127,1527,0.9684210419654846
1589757265.579829,1552,0.9684210419654846
1589757557.856405,1568,0.9473684430122375
1589757575.782947,1569,0.9368420839309692
1589757869.216886,1584,0.9263157844543457
1589757942.795512,1588,0.9157894849777222
1589758253.838047,1604,0.9368420839309692
1589758271.892378,1605,0.9368420839309692
1589758692.58921,1627,0.8736842274665833
1589758784.00045,1632,0.9052631855010986
1589758874.859529,1637,0.9684210419654846
1589758929.499326,1640,0.9263157844543457
1589759020.251524,1645,0.9157894849777222
1589759075.485072,1648,0.9052631855010986
1589759314.69917,1660,0.9052631855010986
1589759460.239848,1668,0.8526315689086914
1589759608.051746,1675,0.7473683953285217
1589759735.164926,1682,0.8315789699554443
1589759899.241456,1691,0.9578947424888611
1589759972.451763,1695,0.9684210419654846
1589760008.90937,1697,0.9789473414421082
1589760064.669681,1699,0.9789473414421082
1589760119.277035,1702,0.9789473414421082
1589760246.999911,1709,0.9789473414421082
1589760410.418191,1718,0.9684210419654846
1589760612.236411,1728,0.9684210419654846
1589760684.7331,1732,0.9684210419654846
1589760721.47168,1734,0.9684210419654846
1589760775.512086,1737,0.9684210419654846
1589760867.361546,1742,0.9684210419654846
1589760922.12035,1745,0.9684210419654846
1589760940.28294,1746,0.9684210419654846
1589761323.506365,1766,0.9684210419654846
1589761506.457288,1775,0.9684210419654846
1589761615.356283,1781,0.9684210419654846
1589761742.841709,1788,0.9684210419654846
1589761761.353929,1789,0.9684210419654846
1589761924.255999,1798,0.9684210419654846
1589762070.193482,1805,0.9684210419654846
1589762471.21326,1826,0.9684210419654846
1589762544.273419,1830,0.9684210419654846
1589762726.639327,1840,0.9684210419654846
1589762798.403699,1844,0.9684210419654846
1589762980.961027,1853,0.9684210419654846
1589763214.716109,1866,0.9473684430122375
1589763268.880834,1869,0.9473684430122375
1589763397.382588,1875,0.9578947424888611
1589763433.447966,1877,0.9789473414421082
1589764074.94997,1911,0.9684210419654846
1589764183.687831,1917,0.9684210419654846
1589764511.343255,1934,0.9578947424888611
1589764691.994846,1944,0.9684210419654846
1589764745.436714,1947,0.9684210419654846
1589764801.408146,1949,0.9684210419654846
1589765125.921438,1967,0.9684210419654846
1589765400.097987,1981,0.9684210419654846
1589765436.457365,1983,0.9684210419654846
1589765782.437555,2001,0.9684210419654846
1589765855.076663,2005,0.9578947424888611
1589766000.793955,2013,0.9578947424888611
1589766329.37395,2030,0.9684210419654846
1589766438.496745,2036,0.9684210419654846
1589766895.650951,2060,0.9789473414421082
1589767130.374916,2073,0.9789473414421082
1589767204.103021,2076,0.9894737005233765
1589767221.791271,2077,0.9894737005233765
1589767256.817024,2079,0.9684210419654846
1589767293.433212,2081,0.9789473414421082
1589767366.346769,2085,0.8736842274665833
1589767438.047021,2089,0.9684210419654846
1589767563.293808,2096,0.9684210419654846
1589767853.091574,2111,0.9684210419654846
1589768487.658952,2145,0.9684210419654846
1589768580.093998,2149,0.9684210419654846
1589768707.303641,2156,0.9789473414421082
1589768870.885181,2165,0.9684210419654846
1589769109.264304,2177,0.9684210419654846
1589769290.037446,2187,0.9684210419654846
1589769326.363714,2189,0.9789473414421082
1589769362.956682,2191,0.9684210419654846
1589769452.681096,2196,0.9684210419654846
1589769527.445276,2199,0.9684210419654846
1589769673.047118,2207,0.9684210419654846
1589769745.453653,2211,0.9578947424888611
1589770129.208011,2231,0.9578947424888611
1589770219.955349,2236,0.9578947424888611
1589770238.286838,2237,0.9578947424888611
1589770274.865722,2239,0.9578947424888611
1589770329.548681,2242,0.9578947424888611
1589770403.600762,2246,0.9578947424888611
1589770421.866447,2247,0.9578947424888611
1589770568.551385,2254,0.9684210419654846
1589770623.173206,2257,0.9578947424888611
1589770714.063639,2262,0.9684210419654846
1589771075.836681,2281,0.9578947424888611
1589771257.978818,2291,0.9578947424888611
1589771366.765184,2297,0.9578947424888611
1589771494.900786,2303,0.9578947424888611
1589771567.889135,2307,0.9578947424888611
1589771786.236334,2319,0.9578947424888611
1589771804.48991,2320,0.9578947424888611
1589772280.281213,2345,0.9578947424888611
1589772463.349165,2354,0.9578947424888611
1589773116.623038,2389,0.9789473414421082
1589773134.758147,2390,0.9684210419654846
1589773170.939285,2392,0.9684210419654846
1589774011.399732,2436,0.9789473414421082
1589774157.941269,2444,0.9894737005233765
1589774304.825701,2451,0.9684210419654846
1589774340.954022,2453,0.9789473414421082
1589774377.137761,2455,0.9789473414421082
1589774468.303982,2460,0.9789473414421082
1589774944.910567,2485,0.9789473414421082
1589774963.395315,2486,0.9789473414421082
1589775146.431686,2496,0.9684210419654846
1589775182.368811,2498,0.9684210419654846
1589775292.443623,2503,0.9684210419654846
1589775548.814039,2517,0.9578947424888611
1589775658.613864,2523,0.9578947424888611
1589775842.832051,2532,0.9684210419654846
1589776116.542798,2547,0.9684210419654846
1589776209.75431,2551,0.9684210419654846
1589776246.427719,2553,0.9684210419654846
1589776723.96794,2578,0.9789473414421082
1589776943.791604,2590,0.9684210419654846
1589777145.23212,2600,0.9684210419654846
1589777254.120407,2606,0.9684210419654846
1589777566.105959,2623,0.9684210419654846
1589777695.585132,2629,0.9684210419654846
1589777713.767103,2630,0.9578947424888611
1589777969.263519,2644,0.9263157844543457
1589778098.527237,2650,0.9578947424888611
1589778189.561137,2655,0.9578947424888611
1589778629.36118,2678,0.9684210419654846
1589778757.496864,2685,0.9578947424888611
1589778849.10807,2690,0.9578947424888611
1589779104.77008,2703,0.9578947424888611
1589779232.994985,2710,0.9578947424888611
1589779523.652263,2725,0.9684210419654846
1589779741.747293,2737,0.9684210419654846
1589779795.81027,2740,0.9684210419654846
1589780067.373888,2754,0.9684210419654846
1589780724.90169,2789,0.9684210419654846
1589780743.421835,2790,0.9684210419654846
1589780761.693705,2791,0.9684210419654846
1589781108.990139,2809,0.9368420839309692
1589781400.890596,2824,0.9789473414421082
1589782294.678577,2872,0.9684210419654846
1589782477.806795,2881,0.9684210419654846
1589782643.026232,2890,0.9684210419654846
1589782752.276944,2896,0.9789473414421082
1589783152.369988,2917,0.9684210419654846
1589783188.076801,2919,0.9684210419654846
1589783206.370793,2920,0.9684210419654846
1589784099.858089,2967,0.9684210419654846
1589784264.093964,2975,0.9789473414421082
1589784683.424165,2998,0.9578947424888611
1589784867.306691,3007,0.9578947424888611
1589784940.370638,3011,0.9578947424888611
1589785012.538545,3015,0.9578947424888611
1589785249.877196,3027,0.9473684430122375
1589785304.640016,3030,0.9473684430122375
1589785450.271793,3038,0.9473684430122375
1589785504.900201,3041,0.9578947424888611
1589785962.305565,3065,0.9789473414421082
1589786034.771279,3069,0.9894737005233765
1589786070.662185,3071,0.9578947424888611
1589786615.078035,3099,0.9789473414421082
1589787024.143149,3122,0.9684210419654846
1589787309.384053,3137,0.9789473414421082
1589787449.425719,3145,0.9789473414421082
1589787556.373798,3150,0.9894737005233765
1589787645.510013,3155,0.9894737005233765
1589787753.128807,3161,0.9789473414421082
1589788060.005162,3177,0.9789473414421082
1589788387.471512,3195,0.9684210419654846
1589788405.854212,3196,0.9789473414421082
1589788552.567913,3203,0.9789473414421082
1589788607.099629,3206,0.9789473414421082
1589789061.761858,3230,0.9894737005233765
1589789117.19197,3233,0.9789473414421082
1589789243.448386,3240,0.9789473414421082
1589789298.011286,3243,0.9789473414421082
1589789315.841701,3244,0.9684210419654846
1589789351.415221,3246,0.9684210419654846
1589789369.751529,3247,0.9578947424888611
1589789841.95473,3272,0.9789473414421082
1589790025.079848,3281,0.9684210419654846
1589790480.038158,3305,0.9684210419654846
1589790626.103774,3313,0.9684210419654846
1589790898.452627,3327,0.9684210419654846
1589790916.516131,3328,0.9684210419654846
1589791223.843868,3345,0.9789473414421082
1589791782.620078,3374,0.9789473414421082
1589791818.681191,3376,0.9789473414421082
1589791997.718446,3386,0.9789473414421082
1589792324.905171,3403,0.9789473414421082
1589792416.369257,3408,0.9789473414421082
1589792830.983538,3430,0.9789473414421082
1589792975.119635,3438,0.9789473414421082
1589793192.311041,3449,0.9789473414421082
1589793228.303751,3451,0.9789473414421082
1589793352.621777,3458,0.9789473414421082
1589793461.148599,3464,0.9789473414421082
1589793589.045903,3471,0.9789473414421082
1589793716.743042,3477,0.9789473414421082
1589793771.337178,3480,0.9789473414421082
1589794081.003207,3497,0.9684210419654846
1589794318.893404,3509,0.9684210419654846
1589794374.004431,3512,0.9684210419654846
1589794501.630259,3519,0.9684210419654846
1589794811.888733,3535,0.9578947424888611
1589794848.250422,3537,0.9578947424888611
1589794958.550826,3543,0.9578947424888611
1589795030.934202,3547,0.9578947424888611
1589795343.129594,3563,0.9578947424888611
1589795668.900657,3580,0.9684210419654846
1589796054.292419,3600,0.9684210419654846
1589796384.496282,3618,0.9684210419654846
1589796420.313636,3620,0.9578947424888611
1589796456.616904,3622,0.9684210419654846
1589796530.588643,3625,0.9684210419654846
1589796585.984136,3628,0.9684210419654846
1589796896.437217,3645,0.9578947424888611
1589797117.904927,3656,0.9684210419654846
1589797373.183121,3670,0.9684210419654846
1589797957.666913,3700,0.9684210419654846
1589797994.449475,3702,0.9578947424888611
1589798451.722437,3726,0.9473684430122375
1589798523.973435,3730,0.9578947424888611
1589798560.387827,3732,0.9473684430122375
1589798669.878625,3738,0.9368420839309692
1589798724.112966,3741,0.9473684430122375
1589798760.478414,3743,0.9473684430122375
1589798944.972818,3752,0.9473684430122375
1589799072.728068,3759,0.9473684430122375
1589799309.090614,3772,0.9473684430122375
1589799475.178178,3780,0.9473684430122375
1589799711.334976,3793,0.9473684430122375
1589799748.11649,3795,0.9473684430122375
1589799802.15871,3798,0.9473684430122375
1589800111.611751,3814,0.9578947424888611
1589800202.267122,3819,0.9578947424888611
1589800238.217232,3821,0.9578947424888611
1589800438.708556,3831,0.9684210419654846
1589800511.294819,3835,0.9684210419654846
1589801059.103582,3864,0.9578947424888611
1589801150.717251,3869,0.9789473414421082
1589801298.136301,3876,0.9578947424888611
1589802119.939675,3920,0.9578947424888611
1589802285.790895,3928,0.9684210419654846
1589802413.49731,3935,0.9473684430122375
1589802487.088442,3939,0.9684210419654846
1589802708.119999,3950,0.9578947424888611
1589802816.855232,3956,0.9578947424888611
1589802926.706763,3962,0.9473684430122375
1589803346.438866,3984,0.9473684430122375
1589803547.77852,3995,0.9578947424888611
1589803658.675395,4000,0.9368420839309692
1589803821.98104,4009,0.9473684430122375
1589803840.537986,4010,0.9368420839309692
1589804059.252848,4022,0.9684210419654846
1589804277.702878,4033,0.9789473414421082
1589804331.087874,4036,0.9789473414421082
1589804510.053042,4046,0.9789473414421082
1589805406.886819,4093,0.9578947424888611
