Wall time,Step,Value
1589728085.260715,18,0.5889999866485596
1589728215.978865,24,0.6290000081062317
1589728509.647587,40,0.6449999809265137
1589728546.493369,42,0.6420000195503235
1589728601.910193,45,0.6740000247955322
1589728823.765199,56,0.6710000038146973
1589729097.52171,71,0.6830000281333923
1589729172.812571,74,0.6809999942779541
1589729536.324173,94,0.6890000104904175
1589729775.184259,106,0.6930000185966492
1589730162.659631,126,0.699999988079071
1589730713.443437,155,0.6990000009536743
1589730769.035603,158,0.7020000219345093
1589730933.256113,167,0.6970000267028809
1589731245.149243,183,0.7049999833106995
1589731281.568823,185,0.703000009059906
1589732127.314297,229,0.722000002861023
1589732219.224629,234,0.7540000081062317
1589732511.900812,249,0.7580000162124634
1589732620.564937,255,0.7519999742507935
1589732711.808884,260,0.7440000176429749
1589732839.064988,267,0.7739999890327454
1589732949.462753,273,0.7400000095367432
1589733629.323958,308,0.6779999732971191
1589733665.648171,310,0.6679999828338623
1589733811.163525,318,0.6869999766349792
1589734214.339391,339,0.6869999766349792
1589734360.909349,347,0.6830000281333923
1589734743.471458,367,0.6970000267028809
1589735764.80051,421,0.7239999771118164
1589735783.082403,422,0.7289999723434448
1589736110.81766,439,0.734000027179718
1589736165.768599,442,0.7409999966621399
1589736220.467242,445,0.7490000128746033
1589736507.97167,460,0.746999979019165
1589736562.765204,463,0.753000020980835
1589736580.970182,464,0.746999979019165
1589736783.082255,474,0.7559999823570251
1589737130.190783,493,0.7540000081062317
1589737532.716729,514,0.7670000195503235
1589737860.562295,531,0.7680000066757202
1589737952.071768,536,0.7549999952316284
1589738464.642877,563,0.7599999904632568
1589738648.166203,573,0.746999979019165
1589738775.460402,579,0.7710000276565552
1589738904.144889,586,0.7490000128746033
1589738922.366532,587,0.7419999837875366
1589739543.82826,620,0.6650000214576721
1589739579.932312,622,0.6959999799728394
1589739816.93648,634,0.6899999976158142
1589739944.010876,641,0.7080000042915344
1589739962.410337,642,0.7179999947547913
1589739999.144379,644,0.7120000123977661
1589740053.951459,647,0.7160000205039978
1589740109.581255,649,0.7149999737739563
1589740328.729325,661,0.7170000076293945
1589740510.363883,671,0.7210000157356262
1589741332.655636,714,0.7179999947547913
1589741478.107205,722,0.7300000190734863
1589741644.101505,730,0.7409999966621399
1589741806.916342,739,0.7400000095367432
1589742061.581758,752,0.75
1589742134.585115,756,0.7450000047683716
1589742298.605434,765,0.7549999952316284
1589742371.703686,769,0.746999979019165
1589742408.56292,771,0.7429999709129333
1589742444.419452,773,0.7429999709129333
1589742591.339086,780,0.7509999871253967
1589742681.556808,785,0.7480000257492065
1589742717.588657,787,0.7509999871253967
1589742808.402837,792,0.7440000176429749
1589742844.801264,794,0.7450000047683716
1589742917.507841,798,0.7429999709129333
1589743010.071402,802,0.7609999775886536
1589743120.612277,808,0.7070000171661377
1589743138.758828,809,0.7390000224113464
1589743577.589534,832,0.7509999871253967
1589743650.222567,836,0.7559999823570251
1589744271.801666,869,0.7760000228881836
1589744419.63667,876,0.7940000295639038
1589744528.568578,882,0.7710000276565552
1589744782.446328,896,0.722000002861023
1589744874.400758,900,0.7250000238418579
1589745002.231299,907,0.7200000286102295
1589745038.696234,909,0.7269999980926514
1589745184.981586,917,0.7310000061988831
1589745460.274589,931,0.7379999756813049
1589745478.308449,932,0.7369999885559082
1589745660.747111,942,0.7409999966621399
1589745715.968765,945,0.7409999966621399
1589745900.158639,954,0.7480000257492065
1589746045.309488,962,0.7459999918937683
1589746207.738016,971,0.7559999823570251
1589746225.932479,972,0.75
1589746354.627486,978,0.734000027179718
1589746372.719273,979,0.7450000047683716
1589746463.791785,984,0.746999979019165
1589746810.218477,1002,0.7390000224113464
1589746864.495861,1005,0.753000020980835
1589747028.21647,1014,0.7689999938011169
1589747593.314102,1044,0.781000018119812
1589747849.832579,1057,0.8019999861717224
1589747958.879793,1063,0.734000027179718
1589748013.859417,1066,0.7310000061988831
1589748050.083663,1068,0.7390000224113464
1589748123.657578,1072,0.734000027179718
1589748252.300213,1078,0.7360000014305115
1589748342.546641,1083,0.7540000081062317
1589748524.083589,1093,0.7369999885559082
1589748652.289163,1099,0.746999979019165
1589748742.610783,1104,0.7630000114440918
1589748924.91776,1114,0.7910000085830688
1589749728.960563,1156,0.7919999957084656
1589749801.660516,1160,0.7900000214576721
1589749819.661589,1161,0.7850000262260437
1589749838.035257,1162,0.7860000133514404
1589750187.284578,1180,0.7519999742507935
1589750424.047206,1193,0.7419999837875366
1589750679.167788,1206,0.5659999847412109
1589751172.38284,1232,0.7540000081062317
1589751392.28969,1244,0.7609999775886536
1589751612.772602,1255,0.7770000100135803
1589751667.236974,1258,0.7749999761581421
1589751722.619355,1261,0.7799999713897705
1589752106.690403,1281,0.7860000133514404
1589752215.489086,1287,0.7799999713897705
1589752342.802011,1294,0.7870000004768372
1589752471.74203,1300,0.7919999957084656
1589752762.596916,1316,0.7900000214576721
1589752818.062381,1319,0.7860000133514404
1589753039.781432,1330,0.7940000295639038
1589753094.799119,1333,0.800000011920929
1589753149.854631,1336,0.7879999876022339
1589753167.933751,1337,0.7829999923706055
1589754084.853345,1385,0.7940000295639038
1589754139.698486,1388,0.796999990940094
1589754195.118882,1391,0.800000011920929
1589754213.095018,1392,0.800000011920929
1589754631.295237,1414,0.8019999861717224
1589754867.40161,1426,0.7860000133514404
1589755049.305819,1436,0.42899999022483826
1589755121.859136,1440,0.7049999833106995
1589755597.330984,1465,0.7850000262260437
1589755615.761491,1466,0.7820000052452087
1589755836.617043,1477,0.7770000100135803
1589755982.564165,1485,0.7870000004768372
1589756055.901288,1489,0.7929999828338623
1589756092.833884,1491,0.7919999957084656
1589756696.462335,1523,0.8119999766349792
1589756789.066463,1527,0.8190000057220459
1589757265.58315,1552,0.8339999914169312
1589757557.85918,1568,0.8259999752044678
1589757575.786082,1569,0.8299999833106995
1589757869.219492,1584,0.8080000281333923
1589757942.798186,1588,0.8100000023841858
1589758253.840734,1604,0.7829999923706055
1589758271.895139,1605,0.8040000200271606
1589758692.591932,1627,0.7429999709129333
1589758784.003749,1632,0.7319999933242798
1589758874.862776,1637,0.7710000276565552
1589758929.502082,1640,0.7950000166893005
1589759020.254449,1645,0.7649999856948853
1589759075.487806,1648,0.7870000004768372
1589759314.702293,1660,0.7149999737739563
1589759460.24267,1668,0.6930000185966492
1589759608.054359,1675,0.6119999885559082
1589759735.167369,1682,0.6859999895095825
1589759899.244538,1691,0.7599999904632568
1589759972.454487,1695,0.7689999938011169
1589760008.91231,1697,0.7749999761581421
1589760064.673353,1699,0.7850000262260437
1589760119.280333,1702,0.7839999794960022
1589760247.001756,1709,0.7870000004768372
1589760410.420878,1718,0.8069999814033508
1589760612.237812,1728,0.8190000057220459
1589760684.73598,1732,0.8180000185966492
1589760721.474231,1734,0.8119999766349792
1589760775.515351,1737,0.8209999799728394
1589760867.364609,1742,0.8209999799728394
1589760922.123702,1745,0.8169999718666077
1589760940.285937,1746,0.8130000233650208
1589761323.509099,1766,0.8149999976158142
1589761506.45973,1775,0.8199999928474426
1589761615.359118,1781,0.8240000009536743
1589761742.84473,1788,0.8190000057220459
1589761761.35662,1789,0.8199999928474426
1589761924.259145,1798,0.8140000104904175
1589762070.196216,1805,0.8220000267028809
1589762471.215975,1826,0.8180000185966492
1589762544.27736,1830,0.8190000057220459
1589762726.642187,1840,0.824999988079071
